state,district,agri_households,pmkisan_enrolled,uptake_rate,gap_rate,literacy_rate,female_literacy,sc_st_share,internet_access,residual,intervention,rationale
Bihar,Bihar_D27,96060,4803,5.0%,95.0%,53.71,44.67,0.204,0.23,-0.3247,Women SHG-led enrollment drives,Female literacy below 45% signals awareness gap among women beneficiaries
Uttar Pradesh,Uttar Pradesh_D19,119509,10992,9.2%,90.8%,81.71,63.83,0.268,0.478,-0.3189,IEC campaign + block-level panchayat drives,General awareness deficit — targeted outreach events recommended
Tamil Nadu,Tamil Nadu_D03,86169,4308,5.0%,95.0%,50.91,37.26,0.224,0.324,-0.3165,Women SHG-led enrollment drives,Female literacy below 45% signals awareness gap among women beneficiaries
Bihar,Bihar_D03,98072,8227,8.4%,91.6%,78.98,62.67,0.324,0.338,-0.3155,IEC campaign + block-level panchayat drives,General awareness deficit — targeted outreach events recommended
Maharashtra,Maharashtra_D08,196594,9829,5.0%,95.0%,65.34,53.27,0.404,0.249,-0.3146,CSO partnerships + Gram Sabha drives,High SC/ST share with low uptake indicates exclusion barriers
Madhya Pradesh,Madhya Pradesh_D20,359436,17971,5.0%,95.0%,59.71,46.66,0.351,0.201,-0.3144,Offline Aadhaar/Jan Dhan linkage camps,Low internet access means digital enrollment channels are failing
Maharashtra,Maharashtra_D03,108191,5409,5.0%,95.0%,63.97,44.76,0.43,0.373,-0.3086,Women SHG-led enrollment drives,Female literacy below 45% signals awareness gap among women beneficiaries
Odisha,Odisha_D15,171543,8577,5.0%,95.0%,60.05,47.25,0.366,0.357,-0.3085,IEC campaign + block-level panchayat drives,General awareness deficit — targeted outreach events recommended
Uttar Pradesh,Uttar Pradesh_D37,156543,10419,6.7%,93.3%,61.84,49.87,0.323,0.42,-0.3022,IEC campaign + block-level panchayat drives,General awareness deficit — targeted outreach events recommended
Karnataka,Karnataka_D09,174820,17896,10.2%,89.8%,57.58,41.58,0.068,0.177,-0.3017,Women SHG-led enrollment drives,Female literacy below 45% signals awareness gap among women beneficiaries
